Manufacturer,Model Number,Description,BIPV,Nameplate Pmax,PTC,Notes,Family,A_c,N_s,Technology,Nameplate Isc,Nameplate Voc,Nameplate Ipmax,Nameplate Vpmax,Average NOCT,gammaPmax,alphaIsc,betaVoc,alphaIpmax,betaVpmax,IPmax_low,VPmax_low,IPmax_NOCT,VPmax_NOCT,NREL Autosolver Date,NREL Autosolver Time,a_ref,I_L_ref,I_o_ref,R_s_ref,R_sh_ref,Adj,Mounting,N_p,Type,Short Side,Long Side,Geometric Multiplier,P2/Pref,CEC Listing Date,Last Update
A10Green Technology,A10J-S72-175,175 W Monocrystalline Module,N,175,151.2,,Monocrystalline,1.3,72,Mono-c-Si,5.17,43.99,4.78,36.63,49.9,-0.5072,0.0415,-0.3616,0.0001,-0.5073,0.99,34.92,3.68,32.04,,,,,,,,,Rack,1,Flat Plate,0.825,1.576,1,0.198167224,,
A10Green Technology,A10J-S72-180,180 W Monocrystalline Module,N,180,155.7,,Monocrystalline,1.3,72,Mono-c-Si,5.31,44.06,4.9,36.72,49.9,-0.5072,0.0415,-0.3616,0.0001,-0.5073,1.02,35.01,3.77,32.12,,,,,,,,,Rack,1,Flat Plate,0.825,1.576,1,0.197984553,,
A10Green Technology,A10J-S72-185,185 W Monocrystalline Module,N,185,160.2,,Monocrystalline,1.3,72,Mono-c-Si,5.43,44.14,5.03,36.72,49.9,-0.5072,0.0415,-0.3616,0.0001,-0.5073,1.04,35.01,3.87,32.12,,,,,,,,,Rack,1,Flat Plate,0.825,1.576,1,0.197744307,,
A10Green Technology,A10J-M60-220,220 W Polycrystalline Module,N,220,189.1,,Polycrystalline,1.624,60,Multi-c-Si,7.95,36.06,7.3,30.12,50.2,-0.5196,0.0548,-0.3624,-0.0413,-0.4835,1.41,29.51,5.56,26.47,,,,,,,,,Rack,1,Flat Plate,0.995,1.632,1,0.189289366,,
A10Green Technology,A10J-M60-225,225 W Polycrystalline Module,N,225,193.5,,Polycrystalline,1.624,60,Multi-c-Si,8.04,36.24,7.44,30.24,50.2,-0.5196,0.0548,-0.3624,-0.0413,-0.4835,1.44,29.62,5.67,26.58,,,,,,,,,Rack,1,Flat Plate,0.995,1.632,1,0.189383996,,
A10Green Technology,A10J-M60-230,230 W Polycrystalline Module,N,230,204.1,,Polycrystalline,1.624,60,Multi-c-Si,8.1,36.42,7.58,30.36,46.4,-0.493,0.097,-0.359,0.047,-0.531,1.44,30.35,6.03,27.85,,,,,,,,,Rack,1,Flat Plate,0.995,1.632,1,0.190140997,,
A10Green Technology,A10J-M60-235,235 W Polycrystalline Module,N,235,208.7,,Polycrystalline,1.624,60,Multi-c-Si,8.23,36.72,7.68,30.6,46.4,-0.493,0.097,-0.359,0.047,-0.531,1.46,30.59,6.11,28.07,,,,,,,,,Rack,1,Flat Plate,0.995,1.632,1,0.190041047,,
A10Green Technology,A10J-M60-240,240 W Polycrystalline Module,N,240,213.3,,Polycrystalline,1.624,60,Multi-c-Si,8.32,36.84,7.83,30.72,46.4,-0.493,0.097,-0.359,0.047,-0.531,1.49,30.71,6.23,28.18,,,,,,,,,Rack,1,Flat Plate,0.995,1.632,1,0.190460255,,
A2Peak Power,POWER ON P220-6x10,220 W Polycrystalline Module,N,220,195,,Polycrystalline,1.633,60,Multi-c-Si,7.98,36.72,7.26,30.3,47.9,-0.46,0.05,-0.35,0.01,-0.47,1.45,29.86,5.87,27.81,,,,,,,,,Rack,1,Flat Plate,1,1.633,1,0.197346469,,
Aavid Solar,ASMS-165P,165 W Polycrystalline Module,N,165,146.3,,Polycrystalline,1.301,72,Multi-c-Si,5.25,43.5,4.71,35,45,-0.519,0.03,-0.393,0.0393,-0.556,1.64,22.57,3.77,30.74,,,,,,,,,Rack,1,Flat Plate,0.826,1.575,1,0.224592713,,
Aavid Solar,ASMS-180M,180 W Monocrystalline Module,N,180,159.7,,Monocrystalline,1.301,72,Mono-c-Si,5.5,45,5,36,46,-0.500882,0.038976,-0.364856,0.021817,-0.527793,0.96,37.03,3.94,32.28,,,,,,,,,Rack,1,Flat Plate,0.826,1.575,1,0.198315451,,
Aavid Solar,ASMS-185M,185 W Monocrystalline Module,N,185,164.3,,Monocrystalline,1.301,72,Mono-c-Si,5.55,45,5.13,36,46,-0.500882,0.038976,-0.364856,0.021817,-0.527793,0.99,37.03,4.04,32.28,,,,,,,,,Rack,1,Flat Plate,0.826,1.575,1,0.197972419,,
Aavid Solar,ASMS-220P,220 W Polycrystalline Module,N,220,196.6,,Polycrystalline,1.64,60,Multi-c-Si,8.08,36.8,7.35,30,45.1,-0.48968,0.03847,-0.3364,0.01662,-0.55595,1.56,29.32,5.95,27.59,,,,,,,,,Rack,1,Flat Plate,0.994,1.65,1,0.208496109,,
Aavid Solar,ASMS-225M,225 W Monocrystalline Module,N,225,200.9,,Monocrystalline,1.64,60,Mono-c-Si,8.17,37,7.5,30,45.4,-0.48968,0.03847,-0.3364,0.01662,-0.55596,1.63,29.61,6.09,27.8,,,,,,,,,Rack,1,Flat Plate,0.994,1.65,1,0.214430403,,
Aavid Solar,ASMS-230M,230 W Polycrystalline Module,N,230,206.9,,Polycrystalline,1.637,60,Multi-c-Si,8.34,37.2,7.74,29.7,46.3,-0.4419,0.0996,-0.3704,0.0492,-0.4301,1.53,29.62,6.14,27.34,,,,,,,,,Rack,1,Flat Plate,0.992,1.65,1,0.197454775,,
Aavid Solar,ASMS-235M,235 W Monocrystalline Module,N,235,210,,Monocrystalline,1.64,60,Mono-c-Si,8.24,37.3,7.58,31,45.4,-0.48968,0.03847,-0.3364,0.01662,-0.55596,1.65,30.59,6.15,28.72,,,,,,,,,Rack,1,Flat Plate,0.994,1.65,1,0.214412153,,
Aavid Solar,ASMS-270P,270 W Polycrystalline Module,N,270,244.4,,Polycrystalline,1.94,72,Multi-c-Si,8.42,44.5,7.69,35.1,45.4,-0.4335,0.0843,-0.3631,0.0177,-0.4195,1.59,34.06,6.3,31.68,,,,,,,,,Rack,1,Flat Plate,0.992,1.956,1,0.200435969,,
