Name,Manufacturer,Technology,Bifacial,STC,PTC,A_c,Length,Width,N_s,I_sc_ref,V_oc_ref,I_mp_ref,V_mp_ref,alpha_sc,beta_oc,T_NOCT,a_ref,I_L_ref,I_o_ref,R_s,R_sh_ref,Adjust,gamma_r,BIPV,Version,Date
Units,,,,,,m2,m,m,,A,V,A,V,A/K,V/K,C,V,A,A,Ohm,Ohm,%,%/K,,,
[0],lib_manufacturer,cec_material,lib_is_bifacial,,,cec_area,,,cec_n_s,cec_i_sc_ref,cec_v_oc_ref,cec_i_mp_ref,cec_v_mp_ref,cec_alpha_sc,cec_beta_oc,cec_t_noct,cec_a_ref,cec_i_l_ref,cec_i_o_ref,cec_r_s,cec_r_sh_ref,cec_adjust,cec_gamma_r,,,
Ablytek 6MN6A270,Ablytek,Mono-c-Si,0,270.643200,242.100000,1.627000,1.64,0.992,60,9.340000,38.630000,8.810000,30.720000,0.004866,-0.121182,47.400000,1.587327,9.342425,0.000000,0.374013,1440.496086,12.656137,-0.450900,N,SAM 2020.11.29 r2,12/1/2021
Ablytek 6MN6A275,Ablytek,Mono-c-Si,0,275.191200,246.700000,1.627000,1.64,0.992,60,9.420000,38.970000,8.880000,30.990000,0.004908,-0.122249,47.400000,1.601822,9.423126,0.000000,0.374165,1127.446561,12.724243,-0.450900,N,SAM 2020.11.29 r2,12/1/2021
Ablytek 6MN6A280,Ablytek,Mono-c-Si,0,280.089600,251.300000,1.627000,1.64,0.992,60,9.510000,39.310000,8.960000,31.260000,0.004955,-0.123315,47.400000,1.616261,9.513759,0.000000,0.373920,945.873921,12.784030,-0.450900,N,SAM 2020.11.29 r2,12/1/2021
Ablytek 6MN6A285,Ablytek,Mono-c-Si,0,285.031200,256,1.627000,1.64,0.992,60,9.590000,39.650000,9.040000,31.530000,0.004996,-0.124382,47.400000,1.629775,9.593213,0.000000,0.374045,1116.596258,12.724458,-0.450900,N,SAM 2020.11.29 r2,12/1/2021
Ablytek 6MN6A290,Ablytek,Mono-c-Si,0,290.016000,260.600000,1.627000,1.64,0.992,60,9.670000,39.990000,9.120000,31.800000,0.005038,-0.125449,47.400000,1.643290,9.672666,0.000000,0.374168,1357.408121,12.665995,-0.450900,N,SAM 2020.11.29 r2,12/1/2021
Advance Power API-P210,Advance Power,Multi-c-Si,0,210.147600,186.800000,1.638000,1.646,0.995,60,7.600000,35.940000,7.090000,29.640000,0.004376,-0.120111,47.600000,1.529645,7.608146,0.000000,0.247801,231.180534,12.962442,-0.450100,N,SAM 2020.11.29 r2,12/1/2021
Advance Power API-P215,Advance Power,Multi-c-Si,0,214.969200,191.300000,1.638000,1.646,0.995,60,7.830000,36,7.180000,29.940000,0.004509,-0.120312,47.600000,1.556229,7.844009,0.000000,0.195624,109.341169,16.199226,-0.450100,N,SAM 2020.11.29 r2,12/1/2021
Advance Power API-P220,Advance Power,Multi-c-Si,0,219.876000,195.900000,1.638000,1.646,0.995,60,7.950000,36.060000,7.300000,30.120000,0.004578,-0.120513,47.600000,1.561498,7.962284,0.000000,0.172338,111.531640,16.581469,-0.450100,N,SAM 2020.11.29 r2,12/1/2021
